video_name,source_video,emotion,frame_role,resolution_tier,frame_time_s,file_name
fearful_001.mp4,.trashed-1792267605-1fa0111d21a3c1559af5f4e27c750fa0_1_1.mp4,fearful,start,low_resolution,2.27,low_resolution/fearful/fearful_001_1.jpg
fearful_001.mp4,.trashed-1792267605-1fa0111d21a3c1559af5f4e27c750fa0_1_1.mp4,fearful,end,low_resolution,3.57,low_resolution/fearful/fearful_001_2.jpg
fearful_002.mp4,.trashed-1792267620-09e22ac2101a647095f286a3d2a4811d_1_1.mp4,fearful,start,low_resolution,0.9,low_resolution/fearful/fearful_002_1.jpg
fearful_002.mp4,.trashed-1792267620-09e22ac2101a647095f286a3d2a4811d_1_1.mp4,fearful,end,low_resolution,2.21,low_resolution/fearful/fearful_002_2.jpg
fearful_003.mp4,.trashed-1792267656-7d1ce6504456322aa6a1a041237c45f8_1_1.mp4,fearful,start,low_resolution,1.3,low_resolution/fearful/fearful_003_1.jpg
fearful_003.mp4,.trashed-1792267656-7d1ce6504456322aa6a1a041237c45f8_1_1.mp4,fearful,end,low_resolution,2.17,low_resolution/fearful/fearful_003_2.jpg
fearful_004.mp4,.trashed-1792268361-b09459c7cc473bddd617ec878e35e0c1.mp4,fearful,start,low_resolution,2.25,low_resolution/fearful/fearful_004_1.jpg
fearful_004.mp4,.trashed-1792268361-b09459c7cc473bddd617ec878e35e0c1.mp4,fearful,end,low_resolution,3.42,low_resolution/fearful/fearful_004_2.jpg
fearful_005.mp4,.trashed-1792268557-2490703a15a1c397b203ecdd4df9da31.mp4,fearful,start,low_resolution,7.65,low_resolution/fearful/fearful_005_1.jpg
fearful_005.mp4,.trashed-1792268557-2490703a15a1c397b203ecdd4df9da31.mp4,fearful,end,low_resolution,8.6,low_resolution/fearful/fearful_005_2.jpg
fearful_006.mp4,.trashed-1792268689-f61593297fb22f7751b31eb5136f62b6.mp4,fearful,start,low_resolution,1.12,low_resolution/fearful/fearful_006_1.jpg
fearful_006.mp4,.trashed-1792268689-f61593297fb22f7751b31eb5136f62b6.mp4,fearful,end,low_resolution,6.07,low_resolution/fearful/fearful_006_2.jpg
fearful_007.mp4,.trashed-1792268967-783b949a0ede7f7cd59f08ae98eaaaf0.mp4,fearful,start,low_resolution,21.56,low_resolution/fearful/fearful_007_1.jpg
