video_name,source_video,emotion_release,annotator_1,emotion_1,annotator_2,emotion_2,agree,status
angry_001.mp4,12774662_2560_1440_50fps.mp4,angry,masha,angry,,,,brak_drugiej_oceny
angry_002.mp4,14173020_1920_1080_24fps.mp4,angry,masha,angry,,,,brak_drugiej_oceny
angry_003.mov,142_RG9nc18wNF9IRA.mov,angry,masha,angry,,,,brak_drugiej_oceny
angry_004.mp4,15355190_1080_1920_25fps.mp4,angry,masha,angry,,,,brak_drugiej_oceny
angry_005.mp4,15659456_2160_3840_24fps.mp4,angry,masha,angry,,,,brak_drugiej_oceny
angry_006.mp4,16257945-hd_1080_1920_60fps.mp4,angry,anton,fearful,masha,angry,0,dwie_oceny_rozne
angry_007.mp4,368fb53ab6d45f963abeadb226527691,angry,mafin,angry,,,,brak_drugiej_oceny
angry_008.mp4,37d9031d59fa3ca54fc5db141f602507,angry,danek,angry,,,,brak_drugiej_oceny
angry_009.mp4,4763071-hd_1920_1080_25fps.mp4,angry,masha,angry,,,,brak_drugiej_oceny
angry_010.mp4,4MTnLmOIJVA_000418,angry,mafin,angry,,,,brak_drugiej_oceny
angry_011.mp4,5479435-uhd_3840_2160_25fps.mp4,angry,masha,angry,,,,brak_drugiej_oceny
angry_012.mp4,5496003-uhd_3840_2160_24fps.mp4,angry,masha,angry,,,,brak_drugiej_oceny
angry_013.mp4,5nsFcoiOc3Y_000006,angry,masha,angry,,,,brak_drugiej_oceny
angry_014.mp4,62c61aa6ec774b9680a0d9018d9d5c3e,angry,mafin,angry,,,,brak_drugiej_oceny
angry_015.mov,6_c29iYWthIHRyeWFwa2EgMg.mov,angry,masha,angry,,,,brak_drugiej_oceny
angry_016.mp4,7187c65be27a9eb784de0c797e3ab93c,angry,danek,angry,,,,brak_drugiej_oceny
angry_017.mp4,7a719ddbb15ada42733afe2d847d2152,angry,danek,angry,,,,brak_drugiej_oceny
angry_018.mp4,7b80a68911c0bafb014bf4d4cc1cd61b,angry,danek,angry,,,,brak_drugiej_oceny
angry_019.mp4,83e5492067d3b299b7f41ab9085f3176,angry,danek,angry,,,,brak_drugiej_oceny
angry_020.mp4,8e367540966b31b19e080859a45c7464,angry,masha,angry,,,,brak_drugiej_oceny
angry_021.mp4,9cd1fd9fa559fe7bc1fabeb08e689cda,angry,masha,angry,,,,brak_drugiej_oceny
angry_022.mp4,9f66c75da00cc8f18c07a8ba92a0b6fa,angry,mafin,angry,,,,brak_drugiej_oceny
angry_023.mp4,IMG_8093.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_024.mp4,IMG_8094.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_025.mp4,IMG_8095.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_026.mp4,IMG_8096.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_027.mp4,IMG_8097.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_028.mp4,IMG_8099.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_029.mp4,IMG_8100.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_030.mp4,IMG_8101.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_031.mp4,IMG_8102.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_032.mp4,IMG_8103.MP4,angry,danek,angry,,,,brak_drugiej_oceny
angry_033.mp4,IMG_8104.MP4,angry,danek,angry,,,,brak_drugiej_oceny
